問題ID,学年,教科,単元,STEP,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,説明文,空欄1選択肢,空欄1正解,空欄2選択肢,空欄2正解,模範解答,解説,タグ
1,5,算数,割合,STEP1,20の25%はいくつですか。,4,5,10,20,B,,,,,,5,25%は0.25なので20×0.25=5です。,百分率
2,5,算数,割合,STEP2,定価800円の品物を20%引きで買います。代金は何円ですか。,600円,640円,660円,680円,B,,"800×0.2=160を800からひくから|800×0.2=160が代金だから|800÷0.2=4000になるから|800+160=960が代金だから","800×0.2=160を800からひくから",,,,ひく計算になることをおさえます。,百分率
3,5,算数,割合,STEP3,300円の30%と500円の20%では、どちらが大きいですか。,300円の30%,500円の20%,同じ,くらべられない,B,"300円の30%は90円、500円の20%は（１）円なので、500円の20%のほうが大きい。","100|90|120|80","100",,,,それぞれ計算してくらべます。,比較
4,5,算数,割合,STEP4,1000円の品物を「30%引き」で買うのと「300円引き」で買うのでは、どちらが安いですか。,30%引き,300円引き,同じ,決められない,C,"1000円の30%は（１）円なので、30%引きは700円。300円引きも700円だから、代金は（２）。","300|30|700|330","300","同じ|30%引きが安い|300円引きが安い|くらべられない","同じ",,もとの値段が1000円のときは一致します。,場合分け
5,5,国語,漢字,STEP1,「往復」の「往」と同じ部首の漢字はどれですか。,待,泳,家,鳴,A,,,,,,待,どちらもぎょうにんべんです。,部首
6,5,国語,読解,STEP2,登場人物の気持ちがいちばんよく分かるのは、どの部分ですか。,行動をえがいた部分,場所をせつめいした部分,時代をせつめいした部分,題名,A,,"何をしたかに気持ちがあらわれるから|場所がわかれば気持ちもわかるから|時代がわかれば気持ちもわかるから|題名に答えが書いてあるから","何をしたかに気持ちがあらわれるから",,,,行動描写に注目します。,心情
7,5,国語,読解,STEP3,主人公が最後に笑ったのはなぜだと考えられますか。,勝てたから,本当の気持ちを伝えられたから,ほめられたから,家に帰れたから,B,"主人公は（１）を友達に伝えたことで安心し、最後に笑うことができた。","本当の気持ち|勝った理由|家の場所|先生の話","本当の気持ち",,,,前後の出来事から考えます。,心情
8,8,数学,一次関数,STEP1,y=2x+3 のグラフの傾きはいくつですか。,2,3,-2,1/2,A,,,,,,2,y=ax+bのaが傾きです。,グラフ
9,8,数学,一次関数,STEP4,y=2x+3 と y=2x-1 のグラフの関係として正しいものはどれですか。,交わる,平行,重なる,垂直,B,"2つの式は傾きが（１）で、切片が（２）ので、グラフは平行になる。","同じ|ちがう|0|1","同じ","ちがう|同じ|0になる|1になる","ちがう",,傾きが等しく切片が異なる直線は平行です。,平行
10,8,英語,英作文,STEP2,「私は昨日、図書館へ行きました。」の go は、どの形になりますか。,go,goes,went,going,C,,"昨日のことなので過去形にするから|主語がIなので原形のままだから|三人称単数なのでesを付けるから|進行中なのでingを付けるから","昨日のことなので過去形にするから",,,,yesterdayが過去の合図です。,動詞の活用
11,8,英語,英作文,STEP3,"I () summer the best. と書くとき、かっこに入る語はどれですか。",like,likes,liked,liking,A,"主語がIなので、動詞は（１）を使う。","原形のlike|三人称単数のlikes|過去形のliked|ing形のliking","原形のlike",,,,主語に合わせて動詞を選びます。,主語と動詞
12,3,算数,図形,STEP1,3つの辺の長さが全部同じ三角形を何といいますか。,直角三角形,二等辺三角形,正三角形,長方形,C,,,,,,正三角形,辺の長さで三角形を分けます。,三角形
